"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-01","2021","01","01","","10.2","","7.5","","8.9","","9.1","","0.0","","","","","","","M","","","25","","50",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-02","2021","01","02","","9.1","","7.3","","8.2","","9.8","","0.0","","","","","","","M","","","18","","48",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-03","2021","01","03","","10.1","","5.9","","8.0","","10.0","","0.0","","","","","","","M","","","11","","39",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-04","2021","01","04","","8.9","","6.6","","7.8","","10.2","","0.0","","","","","","","M","","","11","","61",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-05","2021","01","05","","9.3","","3.1","","6.2","","11.8","","0.0","","","","","","","M","","","12","","78",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-06","2021","01","06","","8.7","","5.7","","7.2","","10.8","","0.0","","","","","","","M","","","12","","44",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-07","2021","01","07","","8.9","","3.6","","6.3","","11.7","","0.0","","","","","","","M","","","9","","37",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-08","2021","01","08","","10.6","","2.6","","6.6","","11.4","","0.0","","","","","","","M","","","10","","50",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-09","2021","01","09","","7.0","","1.8","","4.4","","13.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-10","2021","01","10","","8.8","","5.3","","7.1","","10.9","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-11","2021","01","11","","9.2","","6.5","","7.9","","10.1","","0.0","","","","","","","M","","","11","","54",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-12","2021","01","12","","11.2","","8.4","","9.8","","8.2","","0.0","","","","","","","M","","","12","","57",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-13","2021","01","13","","11.0","","5.2","","8.1","","9.9","","0.0","","","","","","","M","","","25","","100",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-14","2021","01","14","","9.0","","4.1","","6.6","","11.4","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-15","2021","01","15","","13.3","","5.0","","9.2","","8.8","","0.0","","","","","","","M","","","25","","31",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-16","2021","01","16","","8.0","","3.0","","5.5","","12.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-17","2021","01","17","","9.9","","5.0","","7.5","","10.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-18","2021","01","18","","8.1","","2.0","","5.1","","12.9","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-19","2021","01","19","","7.9","","2.8","","5.4","","12.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-20","2021","01","20","","7.3","","5.5","","6.4","","11.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-21","2021","01","21","","7.6","","5.3","","6.5","","11.5","","0.0","","","","","","","M","","","35","","33",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-22","2021","01","22","","6.9","","1.1","","4.0","","14.0","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-23","2021","01","23","","5.7","","-1.0","","2.4","","15.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-24","2021","01","24","","6.0","","4.7","","5.4","","12.6","","0.0","","","","","","","M","","","11","","35",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-25","2021","01","25","","6.5","","1.6","","4.1","","13.9","","0.0","","","","","","","M","","","14","","31",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-26","2021","01","26","","6.7","","1.5","","4.1","","13.9","","0.0","","","","","","","M","","","10","","63",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-27","2021","01","27","","6.0","","3.9","","5.0","","13.0","","0.0","","","","","","","M","","","9","","48",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-28","2021","01","28","","5.5","","4.4","","5.0","","13.0","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-29","2021","01","29","","7.0","","1.6","","4.3","","13.7","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-30","2021","01","30","","8.6","","5.0","","6.8","","11.2","","0.0","","","","","","","M","","","12","","44",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-01-31","2021","01","31","","8.6","","6.3","","7.5","","10.5","","0.0","","","","","","","M","","","12","","37",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2021-02-01","2021","02","01","","7.8","","6.2","","7.0","","11.0","","0.0","","","","","","","M","","","","","",""
