"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-01","2022","01","01","","3.2","","-5.3","","-1.1","","19.1","","0.0","","","","","","","M","","","10","","37",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-02","2022","01","02","","7.9","","1.0","","4.5","","13.5","","0.0","","","","","","","M","","","13","","47",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-03","2022","01","03","","6.0","","1.4","","3.7","","14.3","","0.0","","","","","","","M","","","24","","57",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-04","2022","01","04","","6.3","","0.7","","3.5","","14.5","","0.0","","","","","","","M","","","24","","47",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-05","2022","01","05","","3.4","","-0.2","","1.6","","16.4","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-06","2022","01","06","","5.1","","-0.1","","2.5","","15.5","","0.0","","","","","","","M","","","1","","33",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-07","2022","01","07","","7.4","","2.5","","5.0","","13.0","","0.0","","","","","","","M","","","29","","73",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-08","2022","01","08","","5.9","","0.4","","3.2","","14.8","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-09","2022","01","09","","8.0","","2.7","","5.4","","12.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-10","2022","01","10","","9.3","","3.7","","6.5","","11.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-11","2022","01","11","","10.2","","6.3","","8.3","","9.7","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-12","2022","01","12","","10.5","","7.9","","9.2","","8.8","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-13","2022","01","13","","9.5","","7.4","","8.5","","9.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-14","2022","01","14","","8.4","","6.9","","7.7","","10.3","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-15","2022","01","15","","7.1","","5.0","","6.1","","11.9","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-16","2022","01","16","","6.4","","5.4","","5.9","","12.1","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-17","2022","01","17","","7.2","","5.3","","6.3","","11.7","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-18","2022","01","18","","8.4","","6.0","","7.2","","10.8","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-19","2022","01","19","","8.9","","6.9","","7.9","","10.1","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-20","2022","01","20","","10.1","","7.3","","8.7","","9.3","","0.0","","","","","","","M","","","23","","59",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-21","2022","01","21","","7.8","","2.5","","5.2","","12.8","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-22","2022","01","22","","7.7","","4.0","","5.9","","12.1","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-23","2022","01","23","","4.4","","2.6","","3.5","","14.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-24","2022","01","24","","5.8","","2.8","","4.3","","13.7","","0.0","","","","","","","M","","","7","","40",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-25","2022","01","25","","5.2","","3.0","","4.1","","13.9","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-26","2022","01","26","","5.5","","1.2","","3.4","","14.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-27","2022","01","27","","7.3","","1.5","","4.4","","13.6","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-28","2022","01","28","","5.4","","0.3","","2.9","","15.1","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-29","2022","01","29","","7.1","","1.8","","4.5","","13.5","","0.0","","","","","","","M","","","","","",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-30","2022","01","30","","7.6","","4.9","","6.3","","11.7","","0.0","","","","","","","M","","","26","","66",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-01-31","2022","01","31","","7.6","","3.6","","5.6","","12.4","","0.0","","","","","","","M","","","25","","52",""
"-123.39","48.42","VICTORIA HARBOUR A","1018633","2022-02-01","2022","02","01","","6.3","","-0.8","","2.8","","15.2","","0.0","","","","","","","M","","","","","",""
